audio_file_path,subject,sex,treatment,issueTime
E:\072125_Prat_urgency\RAP\descriptiveData\day1\2025-08-17_11-01-55_Prat_Urgency_group1\pi-data_2025-08-17_11-01-55_Prat_Urgency_group1\box01\mic\20250817_113405.WAV,064,F,Control,113600
E:\072125_Prat_urgency\RAP\descriptiveData\day1\2025-08-17_11-01-55_Prat_Urgency_group1\pi-data_2025-08-17_11-01-55_Prat_Urgency_group1\box01\mic\20250817_113500.WAV,064,F,Control,113600
E:\072125_Prat_urgency\RAP\descriptiveData\day1\2025-08-17_11-01-55_Prat_Urgency_group1\pi-data_2025-08-17_11-01-55_Prat_Urgency_group1\box01\mic\20250817_114000.WAV,064,F,Control,113600
E:\072125_Prat_urgency\RAP\descriptiveData\day1\2025-08-17_11-01-55_Prat_Urgency_group1\pi-data_2025-08-17_11-01-55_Prat_Urgency_group1\box01\mic\20250817_114500.WAV,064,F,Control,113600
E:\072125_Prat_urgency\RAP\descriptiveData\day1\2025-08-17_11-01-55_Prat_Urgency_group1\pi-data_2025-08-17_11-01-55_Prat_Urgency_group1\box01\mic\20250817_115000.WAV,064,F,Control,113600
E:\072125_Prat_urgency\RAP\descriptiveData\day1\2025-08-17_11-01-55_Prat_Urgency_group1\pi-data_2025-08-17_11-01-55_Prat_Urgency_group1\box01\mic\20250817_115500.WAV,064,F,Control,113600
E:\072125_Prat_urgency\RAP\descriptiveData\day1\2025-08-17_11-01-55_Prat_Urgency_group1\pi-data_2025-08-17_11-01-55_Prat_Urgency_group1\box01\mic\20250817_120000.WAV,064,F,Control,113600
E:\072125_Prat_urgency\RAP\descriptiveData\day1\2025-08-17_11-01-55_Prat_Urgency_group1\pi-data_2025-08-17_11-01-55_Prat_Urgency_group1\box01\mic\20250817_120500.WAV,064,F,Control,113600
E:\072125_Prat_urgency\RAP\descriptiveData\day1\2025-08-17_11-01-55_Prat_Urgency_group1\pi-data_2025-08-17_11-01-55_Prat_Urgency_group1\box01\mic\20250817_121000.WAV,064,F,Control,113600
E:\072125_Prat_urgency\RAP\descriptiveData\day1\2025-08-17_11-01-55_Prat_Urgency_group1\pi-data_2025-08-17_11-01-55_Prat_Urgency_group1\box01\mic\20250817_121500.WAV,064,F,Control,113600
E:\072125_Prat_urgency\RAP\descriptiveData\day1\2025-08-17_11-01-55_Prat_Urgency_group1\pi-data_2025-08-17_11-01-55_Prat_Urgency_group1\box01\mic\20250817_122000.WAV,064,F,Control,113600
E:\072125_Prat_urgency\RAP\descriptiveData\day1\2025-08-17_11-01-55_Prat_Urgency_group1\pi-data_2025-08-17_11-01-55_Prat_Urgency_group1\box01\mic\20250817_122500.WAV,064,F,Control,113600
E:\072125_Prat_urgency\RAP\descriptiveData\day1\2025-08-17_11-01-55_Prat_Urgency_group1\pi-data_2025-08-17_11-01-55_Prat_Urgency_group1\box01\mic\20250817_123000.WAV,064,F,Control,113600
E:\072125_Prat_urgency\RAP\descriptiveData\day1\2025-08-17_11-01-55_Prat_Urgency_group1\pi-data_2025-08-17_11-01-55_Prat_Urgency_group1\box01\mic\20250817_123500.WAV,064,F,Control,113600
E:\072125_Prat_urgency\RAP\descriptiveData\day1\2025-08-17_11-01-55_Prat_Urgency_group1\pi-data_2025-08-17_11-01-55_Prat_Urgency_group1\box01\mic\20250817_124000.WAV,064,F,Control,113600
E:\072125_Prat_urgency\RAP\descriptiveData\day1\2025-08-17_11-01-55_Prat_Urgency_group1\pi-data_2025-08-17_11-01-55_Prat_Urgency_group1\box05\mic\20250817_113405.WAV,068_066,F,Control_Control,113600
E:\072125_Prat_urgency\RAP\descriptiveData\day1\2025-08-17_11-01-55_Prat_Urgency_group1\pi-data_2025-08-17_11-01-55_Prat_Urgency_group1\box05\mic\20250817_113500.WAV,068_066,F,Control_Control,113600
E:\072125_Prat_urgency\RAP\descriptiveData\day1\2025-08-17_11-01-55_Prat_Urgency_group1\pi-data_2025-08-17_11-01-55_Prat_Urgency_group1\box05\mic\20250817_114000.WAV,068_066,F,Control_Control,113600
E:\072125_Prat_urgency\RAP\descriptiveData\day1\2025-08-17_11-01-55_Prat_Urgency_group1\pi-data_2025-08-17_11-01-55_Prat_Urgency_group1\box05\mic\20250817_114500.WAV,068_066,F,Control_Control,113600
E:\072125_Prat_urgency\RAP\descriptiveData\day1\2025-08-17_11-01-55_Prat_Urgency_group1\pi-data_2025-08-17_11-01-55_Prat_Urgency_group1\box05\mic\20250817_115000.WAV,068_066,F,Control_Control,113600
E:\072125_Prat_urgency\RAP\descriptiveData\day1\2025-08-17_11-01-55_Prat_Urgency_group1\pi-data_2025-08-17_11-01-55_Prat_Urgency_group1\box05\mic\20250817_115500.WAV,068_066,F,Control_Control,113600
E:\072125_Prat_urgency\RAP\descriptiveData\day1\2025-08-17_11-01-55_Prat_Urgency_group1\pi-data_2025-08-17_11-01-55_Prat_Urgency_group1\box05\mic\20250817_120000.WAV,068_066,F,Control_Control,113600
E:\072125_Prat_urgency\RAP\descriptiveData\day1\2025-08-17_11-01-55_Prat_Urgency_group1\pi-data_2025-08-17_11-01-55_Prat_Urgency_group1\box05\mic\20250817_120500.WAV,068_066,F,Control_Control,113600
E:\072125_Prat_urgency\RAP\descriptiveData\day1\2025-08-17_11-01-55_Prat_Urgency_group1\pi-data_2025-08-17_11-01-55_Prat_Urgency_group1\box05\mic\20250817_121000.WAV,068_066,F,Control_Control,113600
E:\072125_Prat_urgency\RAP\descriptiveData\day1\2025-08-17_11-01-55_Prat_Urgency_group1\pi-data_2025-08-17_11-01-55_Prat_Urgency_group1\box05\mic\20250817_121500.WAV,068_066,F,Control_Control,113600
E:\072125_Prat_urgency\RAP\descriptiveData\day1\2025-08-17_11-01-55_Prat_Urgency_group1\pi-data_2025-08-17_11-01-55_Prat_Urgency_group1\box05\mic\20250817_122000.WAV,068_066,F,Control_Control,113600
E:\072125_Prat_urgency\RAP\descriptiveData\day1\2025-08-17_11-01-55_Prat_Urgency_group1\pi-data_2025-08-17_11-01-55_Prat_Urgency_group1\box05\mic\20250817_122500.WAV,068_066,F,Control_Control,113600
E:\072125_Prat_urgency\RAP\descriptiveData\day1\2025-08-17_11-01-55_Prat_Urgency_group1\pi-data_2025-08-17_11-01-55_Prat_Urgency_group1\box05\mic\20250817_123000.WAV,068_066,F,Control_Control,113600
E:\072125_Prat_urgency\RAP\descriptiveData\day1\2025-08-17_11-01-55_Prat_Urgency_group1\pi-data_2025-08-17_11-01-55_Prat_Urgency_group1\box05\mic\20250817_123500.WAV,068_066,F,Control_Control,113600
E:\072125_Prat_urgency\RAP\descriptiveData\day1\2025-08-17_11-01-55_Prat_Urgency_group1\pi-data_2025-08-17_11-01-55_Prat_Urgency_group1\box05\mic\20250817_124000.WAV,068_066,F,Control_Control,113600
E:\072125_Prat_urgency\RAP\descriptiveData\day1\2025-08-17_11-01-55_Prat_Urgency_group1\pi-data_2025-08-17_11-01-55_Prat_Urgency_group1\box02\mic\20250817_113405.WAV,070_094,F,Control_EtOH,113600
E:\072125_Prat_urgency\RAP\descriptiveData\day1\2025-08-17_11-01-55_Prat_Urgency_group1\pi-data_2025-08-17_11-01-55_Prat_Urgency_group1\box02\mic\20250817_113500.WAV,070_094,F,Control_EtOH,113600
E:\072125_Prat_urgency\RAP\descriptiveData\day1\2025-08-17_11-01-55_Prat_Urgency_group1\pi-data_2025-08-17_11-01-55_Prat_Urgency_group1\box02\mic\20250817_114000.WAV,070_094,F,Control_EtOH,113600
E:\072125_Prat_urgency\RAP\descriptiveData\day1\2025-08-17_11-01-55_Prat_Urgency_group1\pi-data_2025-08-17_11-01-55_Prat_Urgency_group1\box02\mic\20250817_114500.WAV,070_094,F,Control_EtOH,113600
E:\072125_Prat_urgency\RAP\descriptiveData\day1\2025-08-17_11-01-55_Prat_Urgency_group1\pi-data_2025-08-17_11-01-55_Prat_Urgency_group1\box02\mic\20250817_115000.WAV,070_094,F,Control_EtOH,113600
E:\072125_Prat_urgency\RAP\descriptiveData\day1\2025-08-17_11-01-55_Prat_Urgency_group1\pi-data_2025-08-17_11-01-55_Prat_Urgency_group1\box02\mic\20250817_115500.WAV,070_094,F,Control_EtOH,113600
E:\072125_Prat_urgency\RAP\descriptiveData\day1\2025-08-17_11-01-55_Prat_Urgency_group1\pi-data_2025-08-17_11-01-55_Prat_Urgency_group1\box02\mic\20250817_120000.WAV,070_094,F,Control_EtOH,113600
E:\072125_Prat_urgency\RAP\descriptiveData\day1\2025-08-17_11-01-55_Prat_Urgency_group1\pi-data_2025-08-17_11-01-55_Prat_Urgency_group1\box02\mic\20250817_120500.WAV,070_094,F,Control_EtOH,113600
E:\072125_Prat_urgency\RAP\descriptiveData\day1\2025-08-17_11-01-55_Prat_Urgency_group1\pi-data_2025-08-17_11-01-55_Prat_Urgency_group1\box02\mic\20250817_121000.WAV,070_094,F,Control_EtOH,113600
E:\072125_Prat_urgency\RAP\descriptiveData\day1\2025-08-17_11-01-55_Prat_Urgency_group1\pi-data_2025-08-17_11-01-55_Prat_Urgency_group1\box02\mic\20250817_121500.WAV,070_094,F,Control_EtOH,113600
E:\072125_Prat_urgency\RAP\descriptiveData\day1\2025-08-17_11-01-55_Prat_Urgency_group1\pi-data_2025-08-17_11-01-55_Prat_Urgency_group1\box02\mic\20250817_122000.WAV,070_094,F,Control_EtOH,113600
E:\072125_Prat_urgency\RAP\descriptiveData\day1\2025-08-17_11-01-55_Prat_Urgency_group1\pi-data_2025-08-17_11-01-55_Prat_Urgency_group1\box02\mic\20250817_122500.WAV,070_094,F,Control_EtOH,113600
E:\072125_Prat_urgency\RAP\descriptiveData\day1\2025-08-17_11-01-55_Prat_Urgency_group1\pi-data_2025-08-17_11-01-55_Prat_Urgency_group1\box02\mic\20250817_123000.WAV,070_094,F,Control_EtOH,113600
E:\072125_Prat_urgency\RAP\descriptiveData\day1\2025-08-17_11-01-55_Prat_Urgency_group1\pi-data_2025-08-17_11-01-55_Prat_Urgency_group1\box02\mic\20250817_123500.WAV,070_094,F,Control_EtOH,113600
E:\072125_Prat_urgency\RAP\descriptiveData\day1\2025-08-17_11-01-55_Prat_Urgency_group1\pi-data_2025-08-17_11-01-55_Prat_Urgency_group1\box02\mic\20250817_124000.WAV,070_094,F,Control_EtOH,113600
E:\072125_Prat_urgency\RAP\descriptiveData\day1\2025-08-17_11-01-55_Prat_Urgency_group1\pi-data_2025-08-17_11-01-55_Prat_Urgency_group1\box06\mic\20250817_113405.WAV,081_063,M,EtOH_Control,113600
E:\072125_Prat_urgency\RAP\descriptiveData\day1\2025-08-17_11-01-55_Prat_Urgency_group1\pi-data_2025-08-17_11-01-55_Prat_Urgency_group1\box06\mic\20250817_113500.WAV,081_063,M,EtOH_Control,113600
E:\072125_Prat_urgency\RAP\descriptiveData\day1\2025-08-17_11-01-55_Prat_Urgency_group1\pi-data_2025-08-17_11-01-55_Prat_Urgency_group1\box06\mic\20250817_114000.WAV,081_063,M,EtOH_Control,113600
E:\072125_Prat_urgency\RAP\descriptiveData\day1\2025-08-17_11-01-55_Prat_Urgency_group1\pi-data_2025-08-17_11-01-55_Prat_Urgency_group1\box06\mic\20250817_114500.WAV,081_063,M,EtOH_Control,113600
E:\072125_Prat_urgency\RAP\descriptiveData\day1\2025-08-17_11-01-55_Prat_Urgency_group1\pi-data_2025-08-17_11-01-55_Prat_Urgency_group1\box06\mic\20250817_115000.WAV,081_063,M,EtOH_Control,113600
E:\072125_Prat_urgency\RAP\descriptiveData\day1\2025-08-17_11-01-55_Prat_Urgency_group1\pi-data_2025-08-17_11-01-55_Prat_Urgency_group1\box06\mic\20250817_115500.WAV,081_063,M,EtOH_Control,113600
E:\072125_Prat_urgency\RAP\descriptiveData\day1\2025-08-17_11-01-55_Prat_Urgency_group1\pi-data_2025-08-17_11-01-55_Prat_Urgency_group1\box06\mic\20250817_120000.WAV,081_063,M,EtOH_Control,113600
E:\072125_Prat_urgency\RAP\descriptiveData\day1\2025-08-17_11-01-55_Prat_Urgency_group1\pi-data_2025-08-17_11-01-55_Prat_Urgency_group1\box06\mic\20250817_120500.WAV,081_063,M,EtOH_Control,113600
E:\072125_Prat_urgency\RAP\descriptiveData\day1\2025-08-17_11-01-55_Prat_Urgency_group1\pi-data_2025-08-17_11-01-55_Prat_Urgency_group1\box06\mic\20250817_121000.WAV,081_063,M,EtOH_Control,113600
E:\072125_Prat_urgency\RAP\descriptiveData\day1\2025-08-17_11-01-55_Prat_Urgency_group1\pi-data_2025-08-17_11-01-55_Prat_Urgency_group1\box06\mic\20250817_121500.WAV,081_063,M,EtOH_Control,113600
E:\072125_Prat_urgency\RAP\descriptiveData\day1\2025-08-17_11-01-55_Prat_Urgency_group1\pi-data_2025-08-17_11-01-55_Prat_Urgency_group1\box06\mic\20250817_122000.WAV,081_063,M,EtOH_Control,113600
E:\072125_Prat_urgency\RAP\descriptiveData\day1\2025-08-17_11-01-55_Prat_Urgency_group1\pi-data_2025-08-17_11-01-55_Prat_Urgency_group1\box06\mic\20250817_122500.WAV,081_063,M,EtOH_Control,113600
E:\072125_Prat_urgency\RAP\descriptiveData\day1\2025-08-17_11-01-55_Prat_Urgency_group1\pi-data_2025-08-17_11-01-55_Prat_Urgency_group1\box06\mic\20250817_123000.WAV,081_063,M,EtOH_Control,113600
