data_path,subject,sex,treatment,scentDays,issueTime
/datastar/behavior_rooms/DD/2024-10-14_10-39-25_Wistar_Urgency_group1/pi-data_2024-10-14_10-39-25_Wistar_Urgency_group1/Box10/mic/20241014_103924.WAV,012,F,Control,no,104216
/datastar/behavior_rooms/DD/2024-10-14_10-39-25_Wistar_Urgency_group1/pi-data_2024-10-14_10-39-25_Wistar_Urgency_group1/Box10/mic/20241014_104000.WAV,012,F,Control,no,104216
/datastar/behavior_rooms/DD/2024-10-14_10-39-25_Wistar_Urgency_group1/pi-data_2024-10-14_10-39-25_Wistar_Urgency_group1/Box10/mic/20241014_104500.WAV,012,F,Control,no,104216
/datastar/behavior_rooms/DD/2024-10-14_10-39-25_Wistar_Urgency_group1/pi-data_2024-10-14_10-39-25_Wistar_Urgency_group1/Box10/mic/20241014_105000.WAV,012,F,Control,no,104216
/datastar/behavior_rooms/DD/2024-10-14_10-39-25_Wistar_Urgency_group1/pi-data_2024-10-14_10-39-25_Wistar_Urgency_group1/Box10/mic/20241014_105500.WAV,012,F,Control,no,104216
/datastar/behavior_rooms/DD/2024-10-14_10-39-25_Wistar_Urgency_group1/pi-data_2024-10-14_10-39-25_Wistar_Urgency_group1/Box10/mic/20241014_110000.WAV,012,F,Control,no,104216
/datastar/behavior_rooms/DD/2024-10-14_10-39-25_Wistar_Urgency_group1/pi-data_2024-10-14_10-39-25_Wistar_Urgency_group1/Box10/mic/20241014_110500.WAV,012,F,Control,no,104216
/datastar/behavior_rooms/DD/2024-10-14_10-39-25_Wistar_Urgency_group1/pi-data_2024-10-14_10-39-25_Wistar_Urgency_group1/Box10/mic/20241014_111000.WAV,012,F,Control,no,104216
/datastar/behavior_rooms/DD/2024-10-14_10-39-25_Wistar_Urgency_group1/pi-data_2024-10-14_10-39-25_Wistar_Urgency_group1/Box10/mic/20241014_111500.WAV,012,F,Control,no,104216
/datastar/behavior_rooms/DD/2024-10-14_10-39-25_Wistar_Urgency_group1/pi-data_2024-10-14_10-39-25_Wistar_Urgency_group1/Box11/mic/20241014_103925.WAV,018,F,EtOH,no,104249
