audio_file_path,subject,issueTime,sex,treatment,strain
/datastar/behavior_rooms/DD/2024-09-24_12-41-52_Wistar_Urgency_group2/pi-data_2024-09-24_12-41-52_Wistar_Urgency_group2/Box10,015,124602,M,Control,Wistar
/datastar/behavior_rooms/DD/2024-09-24_12-41-52_Wistar_Urgency_group2/pi-data_2024-09-24_12-41-52_Wistar_Urgency_group2/Box02,016,124403,F,Control,Wistar
/datastar/behavior_rooms/DD/2024-09-24_12-41-52_Wistar_Urgency_group2/pi-data_2024-09-24_12-41-52_Wistar_Urgency_group2/Box11,019,124621,M,EtOH,Wistar
/datastar/behavior_rooms/DD/2024-09-24_12-41-52_Wistar_Urgency_group2/pi-data_2024-09-24_12-41-52_Wistar_Urgency_group2/Box12,021,124643,M,EtOH,Wistar
/datastar/behavior_rooms/DD/2024-09-24_12-41-52_Wistar_Urgency_group2/pi-data_2024-09-24_12-41-52_Wistar_Urgency_group2/Box13,022,124659,M,EtOH,Wistar
/datastar/behavior_rooms/DD/2024-09-24_12-41-52_Wistar_Urgency_group2/pi-data_2024-09-24_12-41-52_Wistar_Urgency_group2/Box04,039,124422,F,EtOH,Wistar
/datastar/behavior_rooms/DD/2024-09-24_12-41-52_Wistar_Urgency_group2/pi-data_2024-09-24_12-41-52_Wistar_Urgency_group2/box01,004,124337,F,Control,Wistar
/datastar/behavior_rooms/DD/2024-09-24_12-41-52_Wistar_Urgency_group2/pi-data_2024-09-24_12-41-52_Wistar_Urgency_group2/Box15,044,124726,M,EtOH,Wistar
/datastar/behavior_rooms/DD/2024-09-24_12-41-52_Wistar_Urgency_group2/pi-data_2024-09-24_12-41-52_Wistar_Urgency_group2/box05,046,124442,F,EtOH,Wistar
/datastar/behavior_rooms/DD/2024-09-24_12-41-52_Wistar_Urgency_group2/pi-data_2024-09-24_12-41-52_Wistar_Urgency_group2/Box06,048,124500,F,EtOH,Wistar
/datastar/behavior_rooms/DD/2024-09-24_12-41-52_Wistar_Urgency_group2/pi-data_2024-09-24_12-41-52_Wistar_Urgency_group2/Box16,052,124743,M,EtOH,Wistar
/datastar/behavior_rooms/DD/2024-09-24_12-41-52_Wistar_Urgency_group2/pi-data_2024-09-24_12-41-52_Wistar_Urgency_group2/Box09,007,124542,M,Control,Wistar
/datastar/behavior_rooms/DD/2024-09-24_14-02-10_Wistar_Urgency_group3/pi-data_2024-09-24_14-02-10_Wistar_Urgency_group3/Box11,010,140628,F,Control,Wistar
/datastar/behavior_rooms/DD/2024-09-24_14-02-10_Wistar_Urgency_group3/pi-data_2024-09-24_14-02-10_Wistar_Urgency_group3/Box02,011,140441,M,Control,Wistar
/datastar/behavior_rooms/DD/2024-09-24_14-02-10_Wistar_Urgency_group3/pi-data_2024-09-24_14-02-10_Wistar_Urgency_group3/Box10,002,140609,F,Control,Wistar
/datastar/behavior_rooms/DD/2024-09-24_14-02-10_Wistar_Urgency_group3/pi-data_2024-09-24_14-02-10_Wistar_Urgency_group3/Box12,020,140645,F,EtOH,Wistar
/datastar/behavior_rooms/DD/2024-09-24_14-02-10_Wistar_Urgency_group3/pi-data_2024-09-24_14-02-10_Wistar_Urgency_group3/Box13,023,140703,F,EtOH,Wistar
/datastar/behavior_rooms/DD/2024-09-24_14-02-10_Wistar_Urgency_group3/pi-data_2024-09-24_14-02-10_Wistar_Urgency_group3/Box14,025,140718,F,EtOH,Wistar
/datastar/behavior_rooms/DD/2024-09-24_14-02-10_Wistar_Urgency_group3/pi-data_2024-09-24_14-02-10_Wistar_Urgency_group3/Box15,027,140733,F,EtOH,Wistar
/datastar/behavior_rooms/DD/2024-09-24_14-02-10_Wistar_Urgency_group3/pi-data_2024-09-24_14-02-10_Wistar_Urgency_group3/box01,003,140422,M,Control,Wistar
/datastar/behavior_rooms/DD/2024-09-24_14-02-10_Wistar_Urgency_group3/pi-data_2024-09-24_14-02-10_Wistar_Urgency_group3/Box04,031,140501,M,EtOH,Wistar
/datastar/behavior_rooms/DD/2024-09-24_14-02-10_Wistar_Urgency_group3/pi-data_2024-09-24_14-02-10_Wistar_Urgency_group3/Box16,041,140749,F,EtOH,Wistar
/datastar/behavior_rooms/DD/2024-09-24_14-02-10_Wistar_Urgency_group3/pi-data_2024-09-24_14-02-10_Wistar_Urgency_group3/box05,042,140523,M,EtOH,Wistar
/datastar/behavior_rooms/DD/2024-09-24_14-02-10_Wistar_Urgency_group3/pi-data_2024-09-24_14-02-10_Wistar_Urgency_group3/Box08,056,140551,M,EtOH,Wistar
/datastar/behavior_rooms/DD/2024-09-24_15-18-32_Wistar_Urgency_group4/pi-data_2024-09-24_15-18-32_Wistar_Urgency_group4/Box09,001,152351,M,Control,Wistar
/datastar/behavior_rooms/DD/2024-09-24_15-18-32_Wistar_Urgency_group4/pi-data_2024-09-24_15-18-32_Wistar_Urgency_group4/Box10,013,152410,M,Control,Wistar
/datastar/behavior_rooms/DD/2024-09-24_15-18-32_Wistar_Urgency_group4/pi-data_2024-09-24_15-18-32_Wistar_Urgency_group4/Box02,014,152205,F,Control,Wistar
/datastar/behavior_rooms/DD/2024-09-24_15-18-32_Wistar_Urgency_group4/pi-data_2024-09-24_15-18-32_Wistar_Urgency_group4/Box11,026,152434,M,EtOH,Wistar
/datastar/behavior_rooms/DD/2024-09-24_15-18-32_Wistar_Urgency_group4/pi-data_2024-09-24_15-18-32_Wistar_Urgency_group4/Box03,030,152228,F,EtOH,Wistar
