data_path,subject,issueTime,sex,treatment,strain,time_group,split,group_id,link_name,whitened_path,file_ID
/datastar/behavior_rooms/DD/2024-10-28_11-21-13_Wistar_Urgency_group1/pi-data_2024-10-28_11-21-13_Wistar_Urgency_group1/Box10/mic/20241028_112109.WAV,12,112550,F,Control,Wistar,early,train,2,/media/lapishla/usv/DeepSqueak-Network-Performance/detection/human_curated/scentEtOH_urgencyDD/audio/train/20241028_112109_subject012.WAV,/datastar/behavior_rooms/DD/2024-10-28_11-21-13_Wistar_Urgency_group1/pi-data_2024-10-28_11-21-13_Wistar_Urgency_group1/Box10/mic/20241028_112109_subject012_whitened.flac,20241028_112109_subject012
/datastar/behavior_rooms/DD/2024-10-28_11-21-13_Wistar_Urgency_group1/pi-data_2024-10-28_11-21-13_Wistar_Urgency_group1/Box10/mic/20241028_112500.WAV,12,112550,F,Control,Wistar,early,train,2,/media/lapishla/usv/DeepSqueak-Network-Performance/detection/human_curated/scentEtOH_urgencyDD/audio/train/20241028_112500_subject012.WAV,/datastar/behavior_rooms/DD/2024-10-28_11-21-13_Wistar_Urgency_group1/pi-data_2024-10-28_11-21-13_Wistar_Urgency_group1/Box10/mic/20241028_112500_subject012_whitened.flac,20241028_112500_subject012
/datastar/behavior_rooms/DD/2024-10-28_11-21-13_Wistar_Urgency_group1/pi-data_2024-10-28_11-21-13_Wistar_Urgency_group1/Box10/mic/20241028_113000.WAV,12,112550,F,Control,Wistar,early,train,2,/media/lapishla/usv/DeepSqueak-Network-Performance/detection/human_curated/scentEtOH_urgencyDD/audio/train/20241028_113000_subject012.WAV,/datastar/behavior_rooms/DD/2024-10-28_11-21-13_Wistar_Urgency_group1/pi-data_2024-10-28_11-21-13_Wistar_Urgency_group1/Box10/mic/20241028_113000_subject012_whitened.flac,20241028_113000_subject012
/datastar/behavior_rooms/DD/2024-10-28_11-21-13_Wistar_Urgency_group1/pi-data_2024-10-28_11-21-13_Wistar_Urgency_group1/Box10/mic/20241028_113500.WAV,12,112550,F,Control,Wistar,middle,train,6,/media/lapishla/usv/DeepSqueak-Network-Performance/detection/human_curated/scentEtOH_urgencyDD/audio/train/20241028_113500_subject012.WAV,/datastar/behavior_rooms/DD/2024-10-28_11-21-13_Wistar_Urgency_group1/pi-data_2024-10-28_11-21-13_Wistar_Urgency_group1/Box10/mic/20241028_113500_whitened.flac,20241028_113500_subject012
/datastar/behavior_rooms/DD/2024-10-28_11-21-13_Wistar_Urgency_group1/pi-data_2024-10-28_11-21-13_Wistar_Urgency_group1/Box10/mic/20241028_114000.WAV,12,112550,F,Control,Wistar,middle,validation,6,/media/lapishla/usv/DeepSqueak-Network-Performance/detection/human_curated/scentEtOH_urgencyDD/audio/validation/20241028_114000_subject012.WAV,/datastar/behavior_rooms/DD/2024-10-28_11-21-13_Wistar_Urgency_group1/pi-data_2024-10-28_11-21-13_Wistar_Urgency_group1/Box10/mic/20241028_114000_whitened.flac,20241028_114000_subject012
/datastar/behavior_rooms/DD/2024-10-28_11-21-13_Wistar_Urgency_group1/pi-data_2024-10-28_11-21-13_Wistar_Urgency_group1/Box10/mic/20241028_114500.WAV,12,112550,F,Control,Wistar,late,train,4,/media/lapishla/usv/DeepSqueak-Network-Performance/detection/human_curated/scentEtOH_urgencyDD/audio/train/20241028_114500_subject012.WAV,/datastar/behavior_rooms/DD/2024-10-28_11-21-13_Wistar_Urgency_group1/pi-data_2024-10-28_11-21-13_Wistar_Urgency_group1/Box10/mic/20241028_114500_whitened.flac,20241028_114500_subject012
/datastar/behavior_rooms/DD/2024-10-28_11-21-13_Wistar_Urgency_group1/pi-data_2024-10-28_11-21-13_Wistar_Urgency_group1/Box10/mic/20241028_115000.WAV,12,112550,F,Control,Wistar,late,train,4,/media/lapishla/usv/DeepSqueak-Network-Performance/detection/human_curated/scentEtOH_urgencyDD/audio/train/20241028_115000_subject012.WAV,/datastar/behavior_rooms/DD/2024-10-28_11-21-13_Wistar_Urgency_group1/pi-data_2024-10-28_11-21-13_Wistar_Urgency_group1/Box10/mic/20241028_115000_whitened.flac,20241028_115000_subject012
/datastar/behavior_rooms/DD/2024-10-28_11-21-13_Wistar_Urgency_group1/pi-data_2024-10-28_11-21-13_Wistar_Urgency_group1/Box11/mic/20241028_112110.WAV,18,112611,F,EtOH,Wistar,,,0,,,20241028_112110_subject018
/datastar/behavior_rooms/DD/2024-10-28_11-21-13_Wistar_Urgency_group1/pi-data_2024-10-28_11-21-13_Wistar_Urgency_group1/Box11/mic/20241028_112500.WAV,18,112611,F,EtOH,Wistar,early,train,8,/media/lapishla/usv/DeepSqueak-Network-Performance/detection/human_curated/scentEtOH_urgencyDD/audio/train/20241028_112500_subject018.WAV,/datastar/behavior_rooms/DD/2024-10-28_11-21-13_Wistar_Urgency_group1/pi-data_2024-10-28_11-21-13_Wistar_Urgency_group1/Box11/mic/20241028_112500_whitened.flac,20241028_112500_subject018
/datastar/behavior_rooms/DD/2024-10-28_11-21-13_Wistar_Urgency_group1/pi-data_2024-10-28_11-21-13_Wistar_Urgency_group1/Box11/mic/20241028_113000.WAV,18,112611,F,EtOH,Wistar,early,train,8,/media/lapishla/usv/DeepSqueak-Network-Performance/detection/human_curated/scentEtOH_urgencyDD/audio/train/20241028_113000_subject018.WAV,/datastar/behavior_rooms/DD/2024-10-28_11-21-13_Wistar_Urgency_group1/pi-data_2024-10-28_11-21-13_Wistar_Urgency_group1/Box11/mic/20241028_113000_whitened.flac,20241028_113000_subject018
/datastar/behavior_rooms/DD/2024-10-28_11-21-13_Wistar_Urgency_group1/pi-data_2024-10-28_11-21-13_Wistar_Urgency_group1/Box11/mic/20241028_113500.WAV,18,112611,F,EtOH,Wistar,middle,train,12,/media/lapishla/usv/DeepSqueak-Network-Performance/detection/human_curated/scentEtOH_urgencyDD/audio/train/20241028_113500_subject018.WAV,/datastar/behavior_rooms/DD/2024-10-28_11-21-13_Wistar_Urgency_group1/pi-data_2024-10-28_11-21-13_Wistar_Urgency_group1/Box11/mic/20241028_113500_whitened.flac,20241028_113500_subject018
/datastar/behavior_rooms/DD/2024-10-28_11-21-13_Wistar_Urgency_group1/pi-data_2024-10-28_11-21-13_Wistar_Urgency_group1/Box11/mic/20241028_114000.WAV,18,112611,F,EtOH,Wistar,middle,test,12,/media/lapishla/usv/DeepSqueak-Network-Performance/detection/human_curated/scentEtOH_urgencyDD/audio/test/20241028_114000_subject018.WAV,/datastar/behavior_rooms/DD/2024-10-28_11-21-13_Wistar_Urgency_group1/pi-data_2024-10-28_11-21-13_Wistar_Urgency_group1/Box11/mic/20241028_114000_whitened.flac,20241028_114000_subject018
/datastar/behavior_rooms/DD/2024-10-28_11-21-13_Wistar_Urgency_group1/pi-data_2024-10-28_11-21-13_Wistar_Urgency_group1/Box11/mic/20241028_114500.WAV,18,112611,F,EtOH,Wistar,late,train,10,/media/lapishla/usv/DeepSqueak-Network-Performance/detection/human_curated/scentEtOH_urgencyDD/audio/train/20241028_114500_subject018.WAV,/datastar/behavior_rooms/DD/2024-10-28_11-21-13_Wistar_Urgency_group1/pi-data_2024-10-28_11-21-13_Wistar_Urgency_group1/Box11/mic/20241028_114500_whitened.flac,20241028_114500_subject018
