audio_file_path,subject,sex,treatment,scentDays,issueTime,time_group,split,group_id,link_name,whitened_path,curator,strain
/datastar/behavior_rooms/DD/2024-10-14_10-39-25_Wistar_Urgency_group1/pi-data_2024-10-14_10-39-25_Wistar_Urgency_group1/Box10/mic/20241014_103924.WAV,12,F,Control,no,104216,early,validation,1,/home/lapishla/Documents/GitHub/DeepSqueak-Network-Performance/detection/human_curated/scentEtOH_urgencyDD/audio/validation/20241014_103924_subject012.WAV,/home/lapishla/Documents/GitHub/DeepSqueak-Network-Performance/detection/human_curated/scentEtOH_urgencyDD/audio/validation/20241014_103924_subject012_whitened.flac,,Wistar
/datastar/behavior_rooms/DD/2024-10-14_10-39-25_Wistar_Urgency_group1/pi-data_2024-10-14_10-39-25_Wistar_Urgency_group1/box05/mic/20241014_104000.WAV,34,M,EtOH,no,104103,early,validation,19,/home/lapishla/Documents/GitHub/DeepSqueak-Network-Performance/detection/human_curated/scentEtOH_urgencyDD/audio/validation/20241014_104000_subject034.WAV,/home/lapishla/Documents/GitHub/DeepSqueak-Network-Performance/detection/human_curated/scentEtOH_urgencyDD/audio/validation/20241014_104000_subject034_whitened.flac,,Wistar
/datastar/behavior_rooms/DD/2024-10-14_10-39-25_Wistar_Urgency_group1/pi-data_2024-10-14_10-39-25_Wistar_Urgency_group1/box05/mic/20241014_110500.WAV,34,M,EtOH,no,104103,late,validation,21,/home/lapishla/Documents/GitHub/DeepSqueak-Network-Performance/detection/human_curated/scentEtOH_urgencyDD/audio/validation/20241014_110500_subject034.WAV,/home/lapishla/Documents/GitHub/DeepSqueak-Network-Performance/detection/human_curated/scentEtOH_urgencyDD/audio/validation/20241014_110500_subject034_whitened.flac,,Wistar
/datastar/behavior_rooms/DD/2024-10-14_11-52-08_Wistar_Urgency_group2/pi-data_2024-10-14_11-52-08_Wistar_Urgency_group2/Box13/mic/20241014_120500.WAV,22,M,EtOH,no,115431,middle,validation,23,/home/lapishla/Documents/GitHub/DeepSqueak-Network-Performance/detection/human_curated/scentEtOH_urgencyDD/audio/validation/20241014_120500_subject022.WAV,/home/lapishla/Documents/GitHub/DeepSqueak-Network-Performance/detection/human_curated/scentEtOH_urgencyDD/audio/validation/20241014_120500_subject022_whitened.flac,,Wistar
/datastar/behavior_rooms/DD/2024-10-14_12-56-30_Wistar_Urgency_group3/pi-data_2024-10-14_12-56-30_Wistar_Urgency_group3/box01/mic/20241014_130000.WAV,3,M,Control,no,125747,early,validation,13,/home/lapishla/Documents/GitHub/DeepSqueak-Network-Performance/detection/human_curated/scentEtOH_urgencyDD/audio/validation/20241014_130000_subject003.WAV,/home/lapishla/Documents/GitHub/DeepSqueak-Network-Performance/detection/human_curated/scentEtOH_urgencyDD/audio/validation/20241014_130000_subject003_whitened.flac,,Wistar
/datastar/behavior_rooms/DD/2024-10-14_12-56-30_Wistar_Urgency_group3/pi-data_2024-10-14_12-56-30_Wistar_Urgency_group3/Box04/mic/20241014_130000.WAV,31,M,EtOH,no,125840,early,validation,19,/home/lapishla/Documents/GitHub/DeepSqueak-Network-Performance/detection/human_curated/scentEtOH_urgencyDD/audio/validation/20241014_130000_subject031.WAV,/home/lapishla/Documents/GitHub/DeepSqueak-Network-Performance/detection/human_curated/scentEtOH_urgencyDD/audio/validation/20241014_130000_subject031_whitened.flac,,Wistar
/datastar/behavior_rooms/DD/2024-10-14_12-56-30_Wistar_Urgency_group3/pi-data_2024-10-14_12-56-30_Wistar_Urgency_group3/Box08/mic/20241014_131000.WAV,56,M,EtOH,no,125934,middle,validation,23,/home/lapishla/Documents/GitHub/DeepSqueak-Network-Performance/detection/human_curated/scentEtOH_urgencyDD/audio/validation/20241014_131000_subject056.WAV,/home/lapishla/Documents/GitHub/DeepSqueak-Network-Performance/detection/human_curated/scentEtOH_urgencyDD/audio/validation/20241014_131000_subject056_whitened.flac,,Wistar
/datastar/behavior_rooms/DD/2024-10-14_14-08-53_Wistar_Urgency_group4/pi-data_2024-10-14_14-08-53_Wistar_Urgency_group4/Box09/mic/20241014_142500.WAV,1,M,Control,no,141425,middle,validation,17,/home/lapishla/Documents/GitHub/DeepSqueak-Network-Performance/detection/human_curated/scentEtOH_urgencyDD/audio/validation/20241014_142500_subject001.WAV,/home/lapishla/Documents/GitHub/DeepSqueak-Network-Performance/detection/human_curated/scentEtOH_urgencyDD/audio/validation/20241014_142500_subject001_whitened.flac,,Wistar
/datastar/behavior_rooms/DD/2024-10-15_10-29-23_Wistar_Urgency_group2/pi-data_2024-10-15_10-29-23_Wistar_Urgency_group2/Box11/mic/20241015_105500.WAV,2,F,Control,no,102931,late,validation,3,/home/lapishla/Documents/GitHub/DeepSqueak-Network-Performance/detection/human_curated/scentEtOH_urgencyDD/audio/validation/20241015_105500_subject002.WAV,/home/lapishla/Documents/GitHub/DeepSqueak-Network-Performance/detection/human_curated/scentEtOH_urgencyDD/audio/validation/20241015_105500_subject002_whitened.flac,,Wistar
/datastar/behavior_rooms/DD/2024-10-15_12-54-04_Wistar_Urgency_group4/pi-data_2024-10-15_12-54-04_Wistar_Urgency_group4/Box11/mic/20241015_125013.WAV,18,F,EtOH,no,125512,early,validation,7,/home/lapishla/Documents/GitHub/DeepSqueak-Network-Performance/detection/human_curated/scentEtOH_urgencyDD/audio/validation/20241015_125013_subject018.WAV,/home/lapishla/Documents/GitHub/DeepSqueak-Network-Performance/detection/human_curated/scentEtOH_urgencyDD/audio/validation/20241015_125013_subject018_whitened.flac,,Wistar
