audio_file_path,subject,sex,treatment,issueTime
/datastar/annaRemes/scentEtOH_urgency/wistar/RAP/2024-10-07_14-44-44_Wistar_Urgency_group1/pi-data_2024-10-07_14-44-44_Wistar_Urgency_group1/box01/mic/20241007_144423.WAV,001_033,M,Control_EtOH,145200
/datastar/annaRemes/scentEtOH_urgency/wistar/RAP/2024-10-07_14-44-44_Wistar_Urgency_group1/pi-data_2024-10-07_14-44-44_Wistar_Urgency_group1/box01/mic/20241007_150230.WAV,001_033,M,Control_EtOH,145200
/datastar/annaRemes/scentEtOH_urgency/wistar/RAP/2024-10-07_14-44-44_Wistar_Urgency_group1/pi-data_2024-10-07_14-44-44_Wistar_Urgency_group1/box01/mic/20241007_153235.WAV,001_033,M,Control_EtOH,145200
/datastar/annaRemes/scentEtOH_urgency/wistar/RAP/2024-10-07_14-44-44_Wistar_Urgency_group1/pi-data_2024-10-07_14-44-44_Wistar_Urgency_group1/box01/mic/20241007_160240.WAV,001_033,M,Control_EtOH,145200
/datastar/annaRemes/scentEtOH_urgency/wistar/RAP/2024-10-07_14-44-44_Wistar_Urgency_group1/pi-data_2024-10-07_14-44-44_Wistar_Urgency_group1/box05/mic/20241007_144354.WAV,012_041,F,Control_EtOH,145200
/datastar/annaRemes/scentEtOH_urgency/wistar/RAP/2024-10-07_14-44-44_Wistar_Urgency_group1/pi-data_2024-10-07_14-44-44_Wistar_Urgency_group1/box05/mic/20241007_150230.WAV,012_041,F,Control_EtOH,145200
/datastar/annaRemes/scentEtOH_urgency/wistar/RAP/2024-10-07_14-44-44_Wistar_Urgency_group1/pi-data_2024-10-07_14-44-44_Wistar_Urgency_group1/box05/mic/20241007_153235.WAV,012_041,F,Control_EtOH,145200
/datastar/annaRemes/scentEtOH_urgency/wistar/RAP/2024-10-07_14-44-44_Wistar_Urgency_group1/pi-data_2024-10-07_14-44-44_Wistar_Urgency_group1/box05/mic/20241007_160240.WAV,012_041,F,Control_EtOH,145200
/datastar/annaRemes/scentEtOH_urgency/wistar/RAP/2024-10-07_14-44-44_Wistar_Urgency_group1/pi-data_2024-10-07_14-44-44_Wistar_Urgency_group1/box02/mic/20241007_144444.WAV,013_034,M,Control_EtOH,145200
/datastar/annaRemes/scentEtOH_urgency/wistar/RAP/2024-10-07_14-44-44_Wistar_Urgency_group1/pi-data_2024-10-07_14-44-44_Wistar_Urgency_group1/box02/mic/20241007_150230.WAV,013_034,M,Control_EtOH,145200
/datastar/annaRemes/scentEtOH_urgency/wistar/RAP/2024-10-07_14-44-44_Wistar_Urgency_group1/pi-data_2024-10-07_14-44-44_Wistar_Urgency_group1/box02/mic/20241007_153235.WAV,013_034,M,Control_EtOH,145200
/datastar/annaRemes/scentEtOH_urgency/wistar/RAP/2024-10-07_14-44-44_Wistar_Urgency_group1/pi-data_2024-10-07_14-44-44_Wistar_Urgency_group1/box02/mic/20241007_160240.WAV,013_034,M,Control_EtOH,145200
/datastar/annaRemes/scentEtOH_urgency/wistar/RAP/2024-10-07_14-44-44_Wistar_Urgency_group1/pi-data_2024-10-07_14-44-44_Wistar_Urgency_group1/box03/mic/20241007_143225.WAV,022_057,M,EtOH_EtOH,145200
/datastar/annaRemes/scentEtOH_urgency/wistar/RAP/2024-10-07_14-44-44_Wistar_Urgency_group1/pi-data_2024-10-07_14-44-44_Wistar_Urgency_group1/box03/mic/20241007_150230.WAV,022_057,M,EtOH_EtOH,145200
/datastar/annaRemes/scentEtOH_urgency/wistar/RAP/2024-10-07_14-44-44_Wistar_Urgency_group1/pi-data_2024-10-07_14-44-44_Wistar_Urgency_group1/box03/mic/20241007_153235.WAV,022_057,M,EtOH_EtOH,145200
/datastar/annaRemes/scentEtOH_urgency/wistar/RAP/2024-10-07_14-44-44_Wistar_Urgency_group1/pi-data_2024-10-07_14-44-44_Wistar_Urgency_group1/box03/mic/20241007_160240.WAV,022_057,M,EtOH_EtOH,145200
/datastar/annaRemes/scentEtOH_urgency/wistar/RAP/2024-10-07_14-44-44_Wistar_Urgency_group1/pi-data_2024-10-07_14-44-44_Wistar_Urgency_group1/box06/mic/20241007_144350.WAV,035,F,EtOH,145200
/datastar/annaRemes/scentEtOH_urgency/wistar/RAP/2024-10-07_14-44-44_Wistar_Urgency_group1/pi-data_2024-10-07_14-44-44_Wistar_Urgency_group1/box06/mic/20241007_150230.WAV,035,F,EtOH,145200
/datastar/annaRemes/scentEtOH_urgency/wistar/RAP/2024-10-07_14-44-44_Wistar_Urgency_group1/pi-data_2024-10-07_14-44-44_Wistar_Urgency_group1/box06/mic/20241007_153235.WAV,035,F,EtOH,145200
/datastar/annaRemes/scentEtOH_urgency/wistar/RAP/2024-10-07_14-44-44_Wistar_Urgency_group1/pi-data_2024-10-07_14-44-44_Wistar_Urgency_group1/box06/mic/20241007_160240.WAV,035,F,EtOH,145200
/datastar/annaRemes/scentEtOH_urgency/wistar/RAP/2024-10-07_14-44-44_Wistar_Urgency_group1/pi-data_2024-10-07_14-44-44_Wistar_Urgency_group1/box04/mic/20241007_144404.WAV,006,F,Control,145200
/datastar/annaRemes/scentEtOH_urgency/wistar/RAP/2024-10-07_14-44-44_Wistar_Urgency_group1/pi-data_2024-10-07_14-44-44_Wistar_Urgency_group1/box04/mic/20241007_150230.WAV,006,F,Control,145200
